_RAJ2000,_DEJ2000,_V,RAJ2000,DEJ2000,2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg
53.141487,30.713114,VizieR,53.141487,30.713114,03323395+3042472,13.048,0.022,12.551,0.023,12.248,0.024,AAA,222,111,000,0,0
53.137414,30.701981,VizieR,53.137414,30.701981,03323297+3042071,14.155,0.028,13.476,0.029,13.268,0.027,AAA,222,111,000,0,0
53.162387,30.70587,VizieR,53.162387,30.70587,03323897+3042211,15.815,0.069,14.786,0.07,14.713,0.086,AAA,222,111,000,0,0
53.20001,30.719946,VizieR,53.20001,30.719946,03324800+3043118,16.382,0.118,15.579,0.129,15.281,0.131,BBB,222,111,000,0,0
53.193559,30.744532,VizieR,53.193559,30.744532,03324645+3044403,15.959,0.082,15.179,0.092,14.912,0.087,AAA,222,111,000,0,0
53.19899,30.752531,VizieR,53.19899,30.752531,03324775+3045091,16.356,0.12,15.833,0.166,15.457,0.145,BCB,222,111,000,0,0
53.160732,30.747353,VizieR,53.160732,30.747353,03323857+3044504,16.493,0.13,15.775,0.147,15.372,0.139,BBB,222,111,000,0,0
53.158338,30.728975,VizieR,53.158338,30.728975,03323800+3043443,15.644,0.067,14.72,0.062,14.256,0.052,AAA,222,111,000,0,0
53.167873,30.739826,VizieR,53.167873,30.739826,03324028+3044233,16.584,0.145,15.689,0.151,15.412,0.145,BBB,222,111,000,0,0
53.131532,30.734938,VizieR,53.131532,30.734938,03323156+3044057,16.617,0.15,15.606,0.13,15.478,0.144,BBB,222,111,000,0,0
53.273283,30.718822,VizieR,53.273283,30.718822,03330558+3043077,15.769,0.073,15.461,0.12,15.014,0.105,ABA,222,111,000,0,0
53.252964,30.721889,VizieR,53.252964,30.721889,03330071+3043188,14.706,0.034,14.113,0.042,13.945,0.044,AAA,222,111,000,0,0
53.29961,30.740726,VizieR,53.29961,30.740726,03331190+3044266,14.956,0.04,14.126,0.038,13.853,0.039,AAA,222,111,000,0,0
53.235094,30.725248,VizieR,53.235094,30.725248,03325642+3043308,15.387,0.056,14.449,0.054,14.112,0.052,AAA,222,111,000,0,0
53.248391,30.749294,VizieR,53.248391,30.749294,03325961+3044574,16.668,0.154,15.902,0.173,15.539,0.158,BCC,222,111,000,0,0
53.259158,30.746681,VizieR,53.259158,30.746681,03330219+3044480,16.258,0.108,15.555,0.135,15.628,0.172,ABC,222,111,000,0,0
53.246428,30.750393,VizieR,53.246428,30.750393,03325914+3045014,16.364,,16.053,0.209,14.999,0.104,UCA,22,11,000,0,0
53.247512,30.757923,VizieR,53.247512,30.757923,03325940+3045285,16.609,0.144,15.841,0.165,15.246,0.126,BCB,222,111,000,0,0
53.263571,30.763973,VizieR,53.263571,30.763973,03330325+3045503,16.257,0.114,15.271,0.102,14.971,0.102,BAA,222,111,000,0,0
53.311431,30.746897,VizieR,53.311431,30.746897,03331474+3044488,15.813,0.075,14.971,0.084,14.675,0.073,AAA,222,111,000,0,0
53.333735,30.783033,VizieR,53.333735,30.783033,03332009+3046589,16.492,0.128,15.559,0.136,15.396,0.152,BBB,222,111,000,0,0
53.329467,30.777134,VizieR,53.329467,30.777134,03331907+3046376,16.284,0.111,15.398,0.112,15.149,0.12,BBB,222,111,000,0,0
53.31333,30.783422,VizieR,53.31333,30.783422,03331519+3047003,17.087,,16.192,0.256,15.247,0.135,UDB,22,11,000,0,0
53.319104,30.774996,VizieR,53.319104,30.774996,03331658+3046299,13.356,0.026,12.542,0.024,12.259,0.022,AAA,222,111,000,0,0
