_RAJ2000,_DEJ2000,_V,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g'mag,e_g'mag,r'mag,e_r'mag,i'mag,e_i'mag
51.92593408,30.338907,VizieR,51.925934,30.338907,0.549,0.002,20121442,2,2,,,14.786,0.022,,,,,14.128,0.0,,
51.85279489,30.38187695,VizieR,51.852795,30.381877,0.296,0.269,20180020,7,117,1.914,0.091,13.248,0.042,15.163,0.08,14.237,0.063,12.468,0.032,11.58,0.04
51.83513498,30.40250301,VizieR,51.835135,30.402503,1.274,0.924,20151441,2,4,,,,,,,17.125,0.0,16.283,0.0,,
51.92518592,30.43859696,VizieR,51.925186,30.438597,0.435,0.373,20180020,7,105,1.821,0.082,13.832,0.042,15.653,0.07,14.766,0.074,13.128,0.032,12.382,0.064
51.87197304,30.42175198,VizieR,51.871973,30.421752,1.274,0.836,20121442,5,17,0.987,0.108,16.038,0.045,17.025,0.099,16.52,0.044,15.586,0.038,15.3,0.218
51.87213111,30.42152798,VizieR,51.872131,30.421528,0.911,1.013,20180087,2,12,,,,,,,,,,,,
51.80314898,30.44249701,VizieR,51.803149,30.442497,0.853,1.065,20121442,6,26,1.013,0.134,15.963,0.116,16.976,0.067,16.523,0.101,15.619,0.057,15.132,0.099
51.86887693,30.46064997,VizieR,51.868877,30.46065,1.834,1.041,20151441,2,2,,,,,,,,,16.375,0.083,,
51.86946893,30.46078098,VizieR,51.869469,30.460781,1.436,1.16,20151441,3,4,,,,,,,17.194,0.047,,,,
51.8292079,30.47154999,VizieR,51.829208,30.47155,0.594,0.456,20180020,7,95,1.311,0.083,14.386,0.05,15.697,0.066,15.03,0.066,13.897,0.042,13.353,0.065
51.87165809,30.49380195,VizieR,51.871658,30.493802,0.445,0.414,20180020,7,108,1.256,0.1,14.031,0.029,15.286,0.095,14.655,0.057,13.575,0.032,13.082,0.036
52.07319498,30.39149404,VizieR,52.073195,30.391494,0.962,1.184,20121442,4,14,1.602,0.0,16.055,0.0,17.656,0.0,16.948,0.099,15.478,0.119,14.567,0.088
51.98639607,30.39178205,VizieR,51.986396,30.391782,0.897,1.169,20121442,5,18,,,,,,,16.849,0.15,15.328,0.024,14.548,0.065
51.98685002,30.39163804,VizieR,51.98685,30.391638,1.604,0.477,20180080,2,6,,,,,,,,,,,,
52.05738592,30.46220803,VizieR,52.057386,30.462208,0.646,0.761,20151441,2,4,,,,,,,17.504,0.0,16.212,0.0,15.284,0.28
52.01460791,30.48020506,VizieR,52.014608,30.480205,0.78,0.795,20121442,6,52,1.152,0.039,15.398,0.006,16.55,0.038,16.024,0.063,14.933,0.02,14.384,0.052
52.01313496,30.47320795,VizieR,52.013135,30.473208,0.732,0.716,20180027,7,87,0.97,0.067,14.901,0.039,15.871,0.054,15.406,0.082,14.518,0.056,14.099,0.084
52.01459098,30.48024094,VizieR,52.014591,30.480241,0.874,0.727,20180080,2,44,,,,,,,,,,,,
52.03330398,30.487854,VizieR,52.033304,30.487854,0.738,1.063,20121442,3,10,1.075,0.0,16.241,0.0,17.316,0.0,16.941,0.0,15.614,0.006,14.948,0.079
52.03446198,30.50764096,VizieR,52.034462,30.507641,0.439,1.266,20121442,3,4,,,,,,,17.755,0.103,15.885,0.0,15.07,0.169
52.13904309,30.58053994,VizieR,52.139043,30.58054,0.508,0.497,20121442,6,63,2.117,0.416,14.925,0.008,17.042,0.416,16.012,0.056,13.947,0.02,12.769,0.032
51.92504406,30.48101199,VizieR,51.925044,30.481012,0.632,0.336,20180020,7,121,1.441,0.079,12.962,0.027,14.403,0.074,13.67,0.068,12.447,0.034,11.913,0.049
51.93100595,30.48127604,VizieR,51.931006,30.481276,1.185,0.744,20180024,6,10,0.447,0.0,16.026,0.0,16.472,0.0,,,16.007,0.0,15.363,0.0
51.93102407,30.48099399,VizieR,51.931024,30.480994,1.363,0.732,20180024,2,3,,,,,,,17.462,0.088,,,,
51.91549301,30.47104394,VizieR,51.915493,30.471044,0.602,0.592,20180027,7,92,1.333,0.096,14.644,0.043,15.977,0.086,15.289,0.075,14.173,0.044,13.599,0.047
51.93190002,30.50054395,VizieR,51.9319,30.500544,0.112,0.159,20180020,7,125,0.689,0.073,10.182,0.048,10.871,0.055,10.519,0.053,10.007,0.056,9.824,0.045
52.00483799,30.52560306,VizieR,52.004838,30.525603,0.594,1.456,20121442,3,6,,,,,,,17.276,0.12,16.059,0.052,,
51.96210694,30.53255105,VizieR,51.962107,30.532551,0.623,0.709,20180025,7,82,0.933,0.108,15.041,0.054,15.974,0.094,15.545,0.059,14.691,0.045,14.263,0.048
51.96213198,30.53266597,VizieR,51.962132,30.532666,0.692,0.673,20180025,2,27,,,,,,,,,,,,
51.89922404,30.51307797,VizieR,51.899224,30.513078,0.849,0.685,20121442,6,42,1.104,0.053,15.707,0.024,16.812,0.047,16.237,0.07,15.339,0.032,14.868,0.052
51.90184593,30.50357199,VizieR,51.901846,30.503572,0.996,0.716,20151441,4,7,,,,,,,17.281,0.125,16.313,0.1,,
51.91684294,30.49596703,VizieR,51.916843,30.495967,0.734,0.811,20180023,7,81,1.084,0.091,15.029,0.046,16.113,0.078,15.515,0.073,14.627,0.056,14.202,0.075
51.92763495,30.52278304,VizieR,51.927635,30.522783,1.11,0.829,20121442,5,26,,,16.056,0.0,,,16.599,0.013,15.683,0.084,15.224,0.107
51.88639307,30.52786398,VizieR,51.886393,30.527864,0.696,0.643,20180024,7,76,1.271,0.057,14.679,0.03,15.949,0.049,15.353,0.076,14.202,0.023,13.702,0.066
51.88639903,30.52785301,VizieR,51.886399,30.527853,0.726,0.655,20180024,3,70,,,,,,,,,,,,
51.94637799,30.55838799,VizieR,51.946378,30.558388,1.173,1.253,20121442,5,12,1.222,0.0,16.163,0.0,17.386,0.0,16.783,0.042,15.713,0.025,15.26,0.17
51.94686294,30.55863404,VizieR,51.946863,30.558634,1.29,1.316,20121442,4,8,,,,,,,16.904,0.0,15.931,0.0,,
51.94906402,30.56411803,VizieR,51.949064,30.564118,0.62,1.185,20121442,4,12,,,,,,,17.223,0.075,15.928,0.026,15.383,0.065
51.97962809,30.56078696,VizieR,51.979628,30.560787,1.04,1.475,20121442,2,6,0.746,0.306,16.625,0.106,17.371,0.287,,,,,15.76,0.116
51.93461204,30.56416595,VizieR,51.934612,30.564166,1.07,0.395,20121442,3,6,,,,,,,17.13,0.084,16.285,0.051,,
51.94914007,30.57662106,VizieR,51.94914,30.576621,0.235,0.227,20180020,7,125,0.842,0.081,12.855,0.03,13.697,0.075,13.284,0.071,12.557,0.037,12.242,0.067
51.9959259,30.63332605,VizieR,51.995926,30.633326,0.797,0.753,20121442,6,57,1.1,0.114,15.416,0.063,16.515,0.095,16.0,0.093,14.952,0.029,14.492,0.072
52.00418997,30.65478802,VizieR,52.00419,30.654788,0.893,0.833,20121442,6,40,1.335,0.198,15.649,0.052,16.983,0.191,16.28,0.099,15.092,0.088,14.522,0.047
52.41399503,30.41184294,VizieR,52.413995,30.411843,0.504,0.935,20121442,2,6,,,,,,,17.649,0.128,16.079,0.128,15.125,0.012
52.45358491,30.41640997,VizieR,52.453585,30.41641,0.147,1.195,20121442,2,8,1.152,0.123,15.572,0.0,16.724,0.123,16.365,0.063,15.02,0.021,14.102,0.069
52.45370293,30.41623497,VizieR,52.453703,30.416235,0.914,0.858,20151441,4,39,1.506,0.0,15.65,0.0,17.155,0.0,16.465,0.016,14.967,0.0,14.153,0.09
52.36497402,30.44796503,VizieR,52.364974,30.447965,1.006,1.136,20121442,4,10,1.405,0.0,16.416,0.0,17.821,0.0,17.162,0.103,15.939,0.058,15.376,0.102
52.32004189,30.44804895,VizieR,52.320042,30.448049,0.569,1.104,20121442,2,4,,,,,,,17.416,0.057,16.339,0.186,,
52.39729905,30.47246897,VizieR,52.397299,30.472469,0.144,0.185,20180020,7,110,0.663,0.072,12.002,0.03,12.665,0.066,12.31,0.066,11.814,0.044,11.63,0.063
52.47341609,30.45359504,VizieR,52.473416,30.453595,0.685,0.586,20180025,7,62,1.636,0.089,15.125,0.047,16.76,0.075,15.959,0.054,14.407,0.032,13.596,0.058
52.44777298,30.47142506,VizieR,52.447773,30.471425,1.135,0.459,20121442,5,10,,,,,,,16.883,0.092,15.49,0.036,14.672,0.019
52.44815397,30.47149301,VizieR,52.448154,30.471493,1.322,1.057,20180080,2,7,,,,,,,,,,,,
52.53204107,30.53694701,VizieR,52.532041,30.536947,0.466,0.964,20121442,4,7,,,,,,,17.71,0.0,15.99,0.0,14.921,0.046
52.45879412,30.53862703,VizieR,52.458794,30.538627,0.764,0.898,20121442,6,38,1.408,0.199,15.449,0.042,16.857,0.195,16.197,0.085,14.95,0.026,14.294,0.044
52.45884609,30.53872299,VizieR,52.458846,30.538723,0.801,0.726,20180080,2,30,,,,,,,,,,,,
52.266119,30.47142696,VizieR,52.266119,30.471427,1.034,0.749,20121442,6,61,0.809,0.137,15.363,0.066,16.171,0.12,15.799,0.077,15.077,0.031,14.7,0.114
52.33617496,30.48443198,VizieR,52.336175,30.484432,0.606,0.608,20180027,7,76,1.076,0.101,14.765,0.032,15.841,0.096,15.315,0.08,14.366,0.04,13.917,0.049
52.36763191,30.50577295,VizieR,52.367632,30.505773,0.907,1.082,20121442,6,19,,,,,,,16.685,0.063,15.508,0.092,15.062,0.0
52.26339412,30.50476205,VizieR,52.263394,30.504762,0.78,0.674,20121442,6,49,1.541,0.128,15.476,0.035,17.017,0.123,16.233,0.126,14.845,0.042,14.153,0.078
52.26346993,30.50474501,VizieR,52.26347,30.504745,0.832,0.713,20180080,2,31,,,,,,,,,,,,
52.21404195,30.51687002,VizieR,52.214042,30.51687,0.541,0.519,20180026,7,73,1.581,0.099,14.824,0.028,16.404,0.095,15.67,0.095,14.074,0.016,13.031,0.058
52.31508303,30.55474806,VizieR,52.315083,30.554748,0.847,0.511,20121442,2,6,,,,,,,17.078,0.093,15.763,0.068,15.133,0.008
52.39432001,30.58933902,VizieR,52.39432,30.589339,0.956,0.593,20151441,4,8,,,,,,,17.421,0.0,15.542,0.019,14.65,0.208
52.45408106,30.61439705,VizieR,52.454081,30.614397,1.524,1.268,20121442,2,4,,,,,,,17.734,0.118,16.176,0.0,15.115,0.075
52.44635701,30.60628903,VizieR,52.446357,30.606289,0.843,1.257,20151441,2,4,,,,,,,17.642,0.044,16.154,0.056,,
52.58117008,30.56827104,VizieR,52.58117,30.568271,0.875,0.903,20121442,3,8,,,,,,,17.275,0.022,15.854,0.039,15.096,0.185
52.607059,30.58595598,VizieR,52.607059,30.585956,0.878,0.873,20121442,6,18,1.033,0.0,15.975,0.0,17.008,0.0,16.71,0.089,15.286,0.019,14.536,0.014
52.577209,30.60085201,VizieR,52.577209,30.600852,0.299,0.244,20180020,7,110,1.274,0.078,12.863,0.027,14.137,0.073,13.504,0.061,12.367,0.032,11.771,0.042
52.51496506,30.568277,VizieR,52.514965,30.568277,0.742,0.688,20121442,5,15,,,,,,,17.053,0.114,15.562,0.023,14.452,0.122
52.51827407,30.58466399,VizieR,52.518274,30.584664,0.634,1.278,20121442,5,13,,,,,,,16.776,0.068,15.155,0.025,14.326,0.03
52.5182569,30.58458602,VizieR,52.518257,30.584586,0.849,0.502,20180085,2,6,,,,,,,,,,,,
52.51129699,30.62482095,VizieR,52.511297,30.624821,0.913,0.817,20121442,3,7,,,,,,,17.337,0.126,15.914,0.066,15.037,0.091
52.54510593,30.63026905,VizieR,52.545106,30.630269,0.513,0.339,20180020,7,95,1.956,0.114,13.65,0.036,15.606,0.108,14.646,0.057,12.845,0.026,11.816,0.056
52.68294692,30.65202498,VizieR,52.682947,30.652025,0.485,0.536,20121442,6,48,1.248,0.064,14.867,0.037,16.115,0.053,15.468,0.059,14.366,0.024,13.758,0.063
52.68299198,30.65206099,VizieR,52.682992,30.652061,0.59,0.71,20180087,2,28,,,,,,,,,,,,
52.69520593,30.67549896,VizieR,52.695206,30.675499,0.774,0.786,20121442,6,35,1.317,0.177,15.53,0.035,16.846,0.174,16.196,0.087,15.077,0.042,14.486,0.051
52.69523406,30.67552996,VizieR,52.695234,30.67553,0.981,0.999,20180086,2,17,,,,,,,,,,,,
52.630795,30.69491601,VizieR,52.630795,30.694916,1.018,0.955,20121442,5,17,1.815,0.0,16.346,0.0,18.161,0.0,16.975,0.122,15.506,0.006,14.706,0.063
52.60324693,30.69723701,VizieR,52.603247,30.697237,0.831,0.812,20121442,6,62,1.282,0.145,15.271,0.038,16.553,0.14,15.901,0.049,14.798,0.02,14.158,0.103
52.49644089,30.68030906,VizieR,52.496441,30.680309,0.732,0.818,20180027,6,33,1.678,0.132,15.088,0.03,16.766,0.129,15.915,0.056,14.381,0.03,13.54,0.053
